"			",,,,,,,,,,,,,,,,
Date,Hour,Central/Western,Eastern,Kwun Tong,Sham Shui Po,Kwai Chung,Tsuen Wan,Yuen Long,Tuen Mun,Tung Chung,Tai Po,Sha Tin,Tap Mun,Causeway Bay,Central,Mong Kok
12/30/2013,1,6,5,6,6,6,5,5,6,5,5,5*,5,8,7,7
,2,6,5,6,6,5,5,5,6,5,5,5*,5,7,6,6
,3,6,5,6,6,6,5,5,5,5,5,5*,4,6,6,6
,4,6,5,6,6,6*,5*,4*,5,4*,4,5*,3*,6,5,5
,5,5,4,5,5,5,5,4,5,5,4,4*,5,6,5,5
,6,5,4,5,5,5,5,4,6,4,4,4*,5,5,5,5
,7,5,4,5,5,5,5,4,6,4,4,4*,5,6,5,5
,8,5,5,5,5,5,5,5,6,4,4,4*,5,6,6,6
,9,5,5,6,5,6,5,5,6,4,5,5*,5,8,7,6
,10,6,5,6,6,6,5,5,6,5,5,5,5,8,8,6
,11,6,5,6,6,6,5,6,6,5,5,5,5,8,8,6
,12,6,5,6,6,6,6,6,6,5,5,5,5,8,8,6
,13,6,5,6,6,6,6,6,6,5,5,5,6,8,8,6
,14,6,5,6,6,6,6,6,6,6,6,6,6,9,8,7
,15,6,5,6,6,6,7,7,7,7,6,6,7,9,8,8
,16,7,6,7,7,7,8,8,8,8,7,7,8,10,9,8
,17,8,6,7,9,8,8,8,9,8,7,7,8,10,9,9
,18,9,6,7,9,9,8,9,9,8,7,7,8,10,10,10
,19,9,7,8,9,8,8,9,9,8,7,7,7,10,10,10
,20,8,7,8,9,8,8,9,8,7,7,6,6,10,10,10
,21,8,8,8,9,8,8,8,8,6,7,6,6,10,10,10
,22,8,8,8,9,8,7,8,8,6,7,6,5,10+,10,9
,23,8,8,8,8,7,7,7,8,6,6,6,5,10+,9,9
,24,7,7,8,8,7,7,7,8,5,6,6,5,10+,9,8
,Daily Max,9,8,8,9,9,8,9,9,8,7,7,8,10+,10,10
12/31/2013,1,7,6,8,7,6,7,7,8,5,6,6,5,10,8,8
,2,7,6,7,7,6,6,6,7,5,5,6,4*,9,6,7
,3,6,6,6,6,5,6,6,7,5,5,5,4*,9,6,6
,4,6,6,6,6,5*,6*,5*,6,5*,5,5,4*,8,6,6
,5,5,5,5,6,5,5,5,6,5,5,5,5,8,5,5
,6,5,5,5,5,5,5,5,6,5,5,4,5,7,5,5
,7,5,4,5,5,5,4,5,6,5,5,4,5,7,5,5
,8,5,4,5,5,5,4,5,6,5,4,5,5,8,6,6
,9,5,5,6,6,5,5,6,6,4,5,5,5,8,7,6
,10,5,5,6,6,6,5,6,6,5,6,6,5,9,9,6
,11,6,5,6,6,7,5,6,6,5,,6,5,9,9,6
,12,,,,,,,,,,,,,,,
,13,,,,,,,,,,,,,,,
,14,7,5,7,6,6,6,7,7,8,,6,,10,8,8
,15,7,5,7,7,7,7,8,8,9,,6,,10,8,8
,16,8,6,7,8,8,8,8,9,9,,7,8,10,9,9
,17,8,6,7,8,8,9,9,9,9,,8,8,10,9,9
,18,8,6,7,8,8,9,9,10,9,7,8,7,10+,9,9
,19,8,6,7,8,8,9,9,9,8,7,8,7,10+,8,9
,20,7,6,7,8,8,8,9,9,8,7,8,6,10+,9,9
,21,7,7,8,8,8,7,8,9,7,7,7,6,10+,9,9
,22,7,8,8,8,8,7,8,9,7,7,7,5,10+,9,9
,23,7,8,9,8,7,6,7,9,6,6,7,5,10,8,9
,24,7,8,9,8,7,6,7,9,6,6,6,4,10,8,9
,Daily Max,8,8,9,8,8,9,9,10,9,7,8,8,10+,9,9
