DATE,STATION,SO2,NOX,NO2,CO,RSP,O3,FSP
15-02-2000,CENTRAL,27,367,102,118,73,N.A.,52
16-02-2000,CENTRAL,N.A.,321,108,98,82,N.A.,56
17-02-2000,CENTRAL,N.A.,337,108,100,79,N.A.,53
18-02-2000,CENTRAL,20,280,92,72,51,N.A.,35
19-02-2000,CENTRAL,63,691,115,84,93,N.A.,68
20-02-2000,CENTRAL,34,313,64,84,44,N.A.,35
21-02-2000,CENTRAL,15,221,59,71,19,N.A.,13
22-02-2000,CENTRAL,15,321,85,55,25,N.A.,19
23-02-2000,CENTRAL,28,512,88,81,30,N.A.,24
24-02-2000,CENTRAL,40,492,75,90,41,N.A.,30
25-02-2000,CENTRAL,41,404,76,68,36,N.A.,26
26-02-2000,CENTRAL,49,463,106,59,73,N.A.,57
27-02-2000,CENTRAL,23,240,85,40,85,N.A.,51
28-02-2000,CENTRAL,34,511,107,82,46,N.A.,35
29-02-2000,CENTRAL,37,436,88,81,41,N.A.,29
1/3/2000,CENTRAL,34,458,91,93,32,N.A.,23
2/3/2000,CENTRAL,22,453,102,81,35,N.A.,25
3/3/2000,CENTRAL,23,377,103,68,45,N.A.,31
4/3/2000,CENTRAL,41,533,126,86,71,N.A.,46
5/3/2000,CENTRAL,40,515,113,101,73,N.A.,50
6/3/2000,CENTRAL,21,345,98,72,60,N.A.,42
7/3/2000,CENTRAL,18,269,105,62,88,N.A.,54
8/3/2000,CENTRAL,19,247,102,75,101,N.A.,69
9/3/2000,CENTRAL,15,241,89,54,51,N.A.,30
10/3/2000,CENTRAL,17,285,98,63,41,N.A.,29
11/3/2000,CENTRAL,38,604,126,119,81,N.A.,65
12/3/2000,CENTRAL,22,308,88,113,56,N.A.,47
13-03-2000,CENTRAL,17,277,89,75,35,N.A.,25
14-03-2000,CENTRAL,19,345,108,73,54,N.A.,40
15-03-2000,CENTRAL,46,511,120,99,80,N.A.,54
16-03-2000,CENTRAL,70,695,124,145,113,N.A.,82
17-03-2000,CENTRAL,17,237,94,63,78,N.A.,41
18-03-2000,CENTRAL,19,308,98,62,81,N.A.,46
19-03-2000,CENTRAL,33,361,110,81,86,N.A.,54
20-03-2000,CENTRAL,17,260,99,54,80,N.A.,41
21-03-2000,CENTRAL,28,430,122,71,100,N.A.,55
22-03-2000,CENTRAL,49,660,138,97,107,N.A.,71
23-03-2000,CENTRAL,41,478,114,93,108,N.A.,68
24-03-2000,CENTRAL,22,293,95,89,73,N.A.,41
25-03-2000,CENTRAL,24,332,114,62,132,N.A.,52
26-03-2000,CENTRAL,38,303,117,87,172,N.A.,78
27-03-2000,CENTRAL,68,694,174,105,180,N.A.,89
28-03-2000,CENTRAL,97,799,238,153,208,N.A.,128
29-03-2000,CENTRAL,39,547,162,113,173,N.A.,85
30-03-2000,CENTRAL,23,333,123,72,158,N.A.,56
31-03-2000,CENTRAL,28,437,123,77,142,N.A.,60
1/4/2000,CENTRAL,33,480,91,59,70,N.A.,46
2/4/2000,CENTRAL,11,189,79,22,58,N.A.,32
3/4/2000,CENTRAL,26,471,87,60,50,N.A.,38
4/4/2000,CENTRAL,52,350,85,120,96,N.A.,66
5/4/2000,CENTRAL,43,539,101,72,67,N.A.,49
6/4/2000,CENTRAL,17,265,92,49,52,N.A.,26
7/4/2000,CENTRAL,21,313,102,97,85,N.A.,47
8/4/2000,CENTRAL,18,273,102,102,61,N.A.,38
9/4/2000,CENTRAL,14,241,90,95,51,N.A.,30
10/4/2000,CENTRAL,44,578,109,129,78,N.A.,55
11/4/2000,CENTRAL,18,288,104,99,108,N.A.,60
12/4/2000,CENTRAL,43,515,117,94,133,N.A.,67
13-04-2000,CENTRAL,30,478,110,108,107,N.A.,65
14-04-2000,CENTRAL,39,635,90,118,71,N.A.,52
15-04-2000,CENTRAL,53,549,114,98,56,N.A.,39
16-04-2000,CENTRAL,16,233,99,52,58,N.A.,32
17-04-2000,CENTRAL,19,289,114,46,79,N.A.,44
18-04-2000,CENTRAL,18,261,112,43,85,N.A.,47
19-04-2000,CENTRAL,27,442,106,65,86,N.A.,48
20-04-2000,CENTRAL,70,499,75,56,69,N.A.,46
21-04-2000,CENTRAL,44,580,75,82,82,N.A.,53
22-04-2000,CENTRAL,38,389,63,55,53,N.A.,36
23-04-2000,CENTRAL,12,237,77,58,35,N.A.,22
24-04-2000,CENTRAL,10,164,76,57,54,N.A.,32
25-04-2000,CENTRAL,46,491,74,81,76,N.A.,50
26-04-2000,CENTRAL,57,518,75,97,60,N.A.,42
27-04-2000,CENTRAL,30,403,94,97,58,N.A.,39
28-04-2000,CENTRAL,13,255,91,75,113,N.A.,71
29-04-2000,CENTRAL,28,395,103,65,68,N.A.,44
30-04-2000,CENTRAL,42,335,64,48,65,N.A.,42
1/5/2000,CENTRAL,23,277,46,23,41,N.A.,26
2/5/2000,CENTRAL,32,453,78,55,55,N.A.,41
3/5/2000,CENTRAL,18,279,98,106,61,N.A.,38
4/5/2000,CENTRAL,22,326,106,118,69,N.A.,40
5/5/2000,CENTRAL,30,432,131,138,122,N.A.,71
6/5/2000,CENTRAL,41,454,116,133,94,N.A.,59
7/5/2000,CENTRAL,14,222,85,113,62,N.A.,37
8/5/2000,CENTRAL,17,268,94,107,74,N.A.,44
9/5/2000,CENTRAL,17,256,91,77,83,N.A.,47
10/5/2000,CENTRAL,24,434,101,92,52,N.A.,38
11/5/2000,CENTRAL,11,180,77,58,45,N.A.,28
12/5/2000,CENTRAL,18,284,101,72,68,N.A.,44
13-05-2000,CENTRAL,20,304,94,57,63,N.A.,39
14-05-2000,CENTRAL,12,192,74,26,57,N.A.,32
15-05-2000,CENTRAL,18,273,84,31,72,N.A.,40
16-05-2000,CENTRAL,40,542,124,54,117,N.A.,63
17-05-2000,CENTRAL,25,319,95,32,72,N.A.,40
18-05-2000,CENTRAL,18,287,111,30,88,N.A.,57
19-05-2000,CENTRAL,51,432,107,50,53,N.A.,35
20-05-2000,CENTRAL,22,312,118,28,55,N.A.,30
21-05-2000,CENTRAL,21,230,123,18,101,N.A.,45
22-05-2000,CENTRAL,19,283,115,8,58,N.A.,33
23-05-2000,CENTRAL,16,257,107,3,50,N.A.,28
24-05-2000,CENTRAL,12,234,95,8,42,N.A.,23
25-05-2000,CENTRAL,29,431,87,24,45,N.A.,30
26-05-2000,CENTRAL,28,306,69,24,38,N.A.,26
27-05-2000,CENTRAL,26,354,72,36,48,N.A.,34
28-05-2000,CENTRAL,13,202,60,22,39,N.A.,25
29-05-2000,CENTRAL,16,297,62,19,40,N.A.,27
30-05-2000,CENTRAL,22,371,73,27,51,N.A.,35
31-05-2000,CENTRAL,19,356,62,23,40,N.A.,24
1/6/2000,CENTRAL,17,315,68,9,41,N.A.,24
2/6/2000,CENTRAL,18,318,62,7,47,N.A.,28
3/6/2000,CENTRAL,24,400,57,3,53,N.A.,31
4/6/2000,CENTRAL,23,328,56,5,47,N.A.,28
5/6/2000,CENTRAL,21,357,74,9,57,N.A.,38
6/6/2000,CENTRAL,27,220,43,0,37,N.A.,21
7/6/2000,CENTRAL,30,339,46,9,37,N.A.,N.A.
8/6/2000,CENTRAL,31,402,54,26,47,N.A.,N.A.
9/6/2000,CENTRAL,N.A.,N.A.,N.A.,N.A.,52,N.A.,34
10/6/2000,CENTRAL,42,372,55,21,56,N.A.,36
11/6/2000,CENTRAL,42,223,45,23,42,N.A.,25
12/6/2000,CENTRAL,42,354,76,61,41,N.A.,33
13-06-2000,CENTRAL,25,327,89,44,36,N.A.,27
14-06-2000,CENTRAL,22,317,106,27,51,N.A.,37
15-06-2000,CENTRAL,28,394,122,25,65,N.A.,43
16-06-2000,CENTRAL,49,418,154,45,85,N.A.,61
17-06-2000,CENTRAL,19,305,79,26,35,N.A.,27
18-06-2000,CENTRAL,14,239,57,13,28,N.A.,21
19-06-2000,CENTRAL,48,450,91,61,64,N.A.,50
20-06-2000,CENTRAL,33,458,68,48,N.A.,N.A.,N.A.
21-06-2000,CENTRAL,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.
22-06-2000,CENTRAL,20,348,56,182,43,N.A.,27
23-06-2000,CENTRAL,26,410,58,190,47,N.A.,34
24-06-2000,CENTRAL,28,434,62,194,52,N.A.,36
25-06-2000,CENTRAL,11,165,37,162,27,N.A.,18
26-06-2000,CENTRAL,15,301,53,127,33,N.A.,25
27-06-2000,CENTRAL,17,319,56,49,40,N.A.,26
28-06-2000,CENTRAL,63,502,71,66,57,N.A.,41
29-06-2000,CENTRAL,44,444,69,63,55,N.A.,40
30-06-2000,CENTRAL,42,399,61,57,49,N.A.,36
1/7/2000,CENTRAL,17,245,50,36,36,N.A.,22
2/7/2000,CENTRAL,12,201,44,37,32,N.A.,20
3/7/2000,CENTRAL,18,293,71,53,45,N.A.,32
4/7/2000,CENTRAL,29,368,85,63,54,N.A.,38
5/7/2000,CENTRAL,37,434,88,78,67,N.A.,47
6/7/2000,CENTRAL,79,498,127,103,94,N.A.,77
7/7/2000,CENTRAL,83,487,145,121,105,N.A.,84
8/7/2000,CENTRAL,38,421,97,86,64,N.A.,43
9/7/2000,CENTRAL,27,294,78,69,54,N.A.,36
10/7/2000,CENTRAL,25,314,73,69,55,N.A.,37
11/7/2000,CENTRAL,18,314,62,86,44,N.A.,30
12/7/2000,CENTRAL,22,384,57,98,40,N.A.,29
13-07-2000,CENTRAL,22,334,47,81,41,N.A.,28
14-07-2000,CENTRAL,21,310,56,80,46,N.A.,30
15-07-2000,CENTRAL,19,233,63,75,46,N.A.,30
16-07-2000,CENTRAL,9,139,39,70,25,N.A.,14
17-07-2000,CENTRAL,31,447,77,108,54,N.A.,41
18-07-2000,CENTRAL,24,375,75,107,45,N.A.,35
19-07-2000,CENTRAL,30,431,68,120,59,N.A.,44
20-07-2000,CENTRAL,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.
21-07-2000,CENTRAL,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.
22-07-2000,CENTRAL,22,370,52,117,47,N.A.,33
23-07-2000,CENTRAL,57,343,49,110,49,N.A.,33
24-07-2000,CENTRAL,30,385,58,117,59,N.A.,42
25-07-2000,CENTRAL,29,383,64,116,60,N.A.,42
26-07-2000,CENTRAL,22,345,53,112,46,N.A.,31
27-07-2000,CENTRAL,24,323,58,124,50,N.A.,33
28-07-2000,CENTRAL,27,285,51,127,50,N.A.,32
29-07-2000,CENTRAL,33,318,56,134,50,N.A.,32
30-07-2000,CENTRAL,23,250,47,129,48,N.A.,30
31-07-2000,CENTRAL,25,322,53,148,54,N.A.,36
1/8/2000,CENTRAL,40,477,73,162,53,N.A.,40
2/8/2000,CENTRAL,74,581,79,175,58,N.A.,43
3/8/2000,CENTRAL,40,548,75,183,61,N.A.,45
4/8/2000,CENTRAL,34,515,68,146,60,N.A.,47
5/8/2000,CENTRAL,48,523,70,102,58,N.A.,43
6/8/2000,CENTRAL,23,264,53,77,35,N.A.,23
7/8/2000,CENTRAL,26,376,60,88,47,N.A.,32
8/8/2000,CENTRAL,75,499,65,99,63,N.A.,46
9/8/2000,CENTRAL,32,454,68,105,52,N.A.,37
10/8/2000,CENTRAL,22,383,67,118,57,N.A.,41
11/8/2000,CENTRAL,50,393,75,117,N.A.,N.A.,49
12/8/2000,CENTRAL,28,318,49,101,40,N.A.,29
13-08-2000,CENTRAL,24,250,45,97,42,N.A.,27
14-08-2000,CENTRAL,53,355,67,114,60,N.A.,41
15-08-2000,CENTRAL,31,357,59,115,56,N.A.,37
16-08-2000,CENTRAL,19,312,51,114,43,N.A.,29
17-08-2000,CENTRAL,25,369,58,122,53,N.A.,35
18-08-2000,CENTRAL,45,481,72,130,66,N.A.,46
19-08-2000,CENTRAL,40,480,84,135,72,N.A.,48
20-08-2000,CENTRAL,14,233,49,107,36,N.A.,23
21-08-2000,CENTRAL,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.
22-08-2000,CENTRAL,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.
23-08-2000,CENTRAL,28,320,76,149,70,N.A.,47
24-08-2000,CENTRAL,13,314,52,138,N.A.,N.A.,N.A.
25-08-2000,CENTRAL,40,N.A.,N.A.,139,N.A.,N.A.,N.A.
26-08-2000,CENTRAL,43,N.A.,N.A.,171,71,N.A.,53
27-08-2000,CENTRAL,54,N.A.,N.A.,199,88,N.A.,65
28-08-2000,CENTRAL,25,N.A.,N.A.,154,57,N.A.,39
29-08-2000,CENTRAL,41,466,95,162,77,N.A.,52
30-08-2000,CENTRAL,31,424,91,170,77,N.A.,54
31-08-2000,CENTRAL,29,369,82,175,65,N.A.,50
1/9/2000,CENTRAL,25,359,76,188,85,N.A.,66
2/9/2000,CENTRAL,31,476,87,184,63,N.A.,48
3/9/2000,CENTRAL,13,229,57,147,41,N.A.,28
4/9/2000,CENTRAL,29,452,87,187,67,N.A.,45
5/9/2000,CENTRAL,63,477,109,207,91,N.A.,68
6/9/2000,CENTRAL,21,292,83,118,54,N.A.,37
7/9/2000,CENTRAL,17,279,100,57,64,N.A.,39
8/9/2000,CENTRAL,12,220,79,60,59,N.A.,38
9/9/2000,CENTRAL,16,259,86,63,70,N.A.,48
10/9/2000,CENTRAL,26,210,104,87,74,N.A.,54
11/9/2000,CENTRAL,31,351,149,110,101,N.A.,73
12/9/2000,CENTRAL,23,321,118,92,87,N.A.,57
13-09-2000,CENTRAL,26,194,113,97,86,N.A.,54
14-09-2000,CENTRAL,33,322,138,92,73,N.A.,38
15-09-2000,CENTRAL,36,405,152,100,81,N.A.,46
16-09-2000,CENTRAL,26,361,147,111,90,N.A.,58
17-09-2000,CENTRAL,17,267,129,109,79,N.A.,54
18-09-2000,CENTRAL,16,292,122,106,77,N.A.,50
19-09-2000,CENTRAL,18,284,125,105,88,N.A.,55
20-09-2000,CENTRAL,16,261,97,114,88,N.A.,60
21-09-2000,CENTRAL,13,252,79,97,67,N.A.,41
22-09-2000,CENTRAL,15,276,84,105,67,N.A.,43
23-09-2000,CENTRAL,19,353,85,118,74,N.A.,46
24-09-2000,CENTRAL,13,233,77,105,54,N.A.,36
25-09-2000,CENTRAL,15,377,78,129,58,N.A.,39
26-09-2000,CENTRAL,14,345,92,128,64,N.A.,45
27-09-2000,CENTRAL,11,247,84,128,64,N.A.,45
28-09-2000,CENTRAL,12,265,75,135,60,N.A.,43
29-09-2000,CENTRAL,19,398,83,150,65,N.A.,45
30-09-2000,CENTRAL,17,420,85,148,62,N.A.,44
1/10/2000,CENTRAL,14,260,78,135,55,N.A.,40
2/10/2000,CENTRAL,19,258,77,135,51,N.A.,35
3/10/2000,CENTRAL,63,485,83,162,68,N.A.,47
4/10/2000,CENTRAL,36,440,93,164,76,N.A.,52
5/10/2000,CENTRAL,11,260,71,102,43,N.A.,27
6/10/2000,CENTRAL,11,230,61,46,39,N.A.,26
7/10/2000,CENTRAL,16,324,87,57,62,N.A.,41
8/10/2000,CENTRAL,11,229,90,64,53,N.A.,39
9/10/2000,CENTRAL,12,231,83,57,52,N.A.,33
10/10/2000,CENTRAL,13,254,86,59,55,N.A.,35
11/10/2000,CENTRAL,11,209,68,65,53,N.A.,32
12/10/2000,CENTRAL,10,191,63,57,47,N.A.,32
13-10-2000,CENTRAL,15,254,71,74,51,N.A.,38
14-10-2000,CENTRAL,12,224,62,79,36,N.A.,28
15-10-2000,CENTRAL,16,260,72,86,48,N.A.,34
16-10-2000,CENTRAL,17,297,94,89,68,N.A.,45
17-10-2000,CENTRAL,26,358,117,101,77,N.A.,55
18-10-2000,CENTRAL,13,228,78,83,62,N.A.,41
19-10-2000,CENTRAL,9,208,75,83,51,N.A.,34
20-10-2000,CENTRAL,8,224,73,99,40,N.A.,31
21-10-2000,CENTRAL,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.
22-10-2000,CENTRAL,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.
23-10-2000,CENTRAL,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.
24-10-2000,CENTRAL,39,547,115,181,92,N.A.,62
25-10-2000,CENTRAL,17,314,85,151,N.A.,N.A.,N.A.
26-10-2000,CENTRAL,15,246,87,185,N.A.,N.A.,N.A.
27-10-2000,CENTRAL,14,239,85,168,73,N.A.,46
28-10-2000,CENTRAL,22,291,75,180,70,N.A.,43
29-10-2000,CENTRAL,14,180,61,172,45,N.A.,26
30-10-2000,CENTRAL,30,333,103,176,74,N.A.,43
31-10-2000,CENTRAL,30,259,103,173,82,N.A.,50
1/11/2000,CENTRAL,33,289,102,126,85,N.A.,53
2/11/2000,CENTRAL,39,479,138,81,101,N.A.,64
3/11/2000,CENTRAL,41,461,149,98,108,N.A.,75
4/11/2000,CENTRAL,43,407,120,102,106,N.A.,75
5/11/2000,CENTRAL,23,276,104,88,74,N.A.,51
6/11/2000,CENTRAL,42,461,112,118,87,N.A.,60
7/11/2000,CENTRAL,18,318,82,113,58,N.A.,45
8/11/2000,CENTRAL,11,238,72,71,38,N.A.,24
9/11/2000,CENTRAL,12,247,83,69,39,N.A.,23
10/11/2000,CENTRAL,20,325,105,78,53,N.A.,35
11/11/2000,CENTRAL,25,292,74,110,54,N.A.,35
12/11/2000,CENTRAL,12,204,60,112,25,N.A.,18
13-11-2000,CENTRAL,29,375,88,120,48,N.A.,33
14-11-2000,CENTRAL,39,458,145,143,86,N.A.,59
15-11-2000,CENTRAL,37,440,108,123,68,N.A.,46
16-11-2000,CENTRAL,22,300,78,127,48,N.A.,36
17-11-2000,CENTRAL,29,317,78,138,47,N.A.,30
18-11-2000,CENTRAL,20,266,77,123,50,N.A.,32
19-11-2000,CENTRAL,24,247,79,109,64,N.A.,44
20-11-2000,CENTRAL,28,228,74,134,52,N.A.,31
21-11-2000,CENTRAL,36,368,103,117,90,N.A.,53
22-11-2000,CENTRAL,38,476,124,138,87,N.A.,57
23-11-2000,CENTRAL,27,350,121,121,70,N.A.,48
24-11-2000,CENTRAL,21,272,98,102,51,N.A.,30
25-11-2000,CENTRAL,21,293,103,107,55,N.A.,33
26-11-2000,CENTRAL,36,310,111,119,67,N.A.,43
27-11-2000,CENTRAL,19,243,91,118,63,N.A.,44
28-11-2000,CENTRAL,16,221,81,113,62,N.A.,40
29-11-2000,CENTRAL,19,279,92,116,60,N.A.,33
30-11-2000,CENTRAL,27,368,120,128,68,N.A.,41
1/12/2000,CENTRAL,49,509,154,177,102,N.A.,69
2/12/2000,CENTRAL,21,287,96,166,75,N.A.,50
3/12/2000,CENTRAL,17,195,79,157,46,N.A.,26
4/12/2000,CENTRAL,28,361,90,182,57,N.A.,38
5/12/2000,CENTRAL,27,364,112,181,70,N.A.,50
6/12/2000,CENTRAL,22,344,116,158,72,N.A.,48
7/12/2000,CENTRAL,24,327,121,128,93,N.A.,59
8/12/2000,CENTRAL,21,269,109,44,82,N.A.,50
9/12/2000,CENTRAL,20,294,111,33,63,N.A.,38
10/12/2000,CENTRAL,26,309,123,40,66,N.A.,42
11/12/2000,CENTRAL,16,215,88,48,77,N.A.,51
12/12/2000,CENTRAL,18,304,76,94,33,N.A.,25
13-12-2000,CENTRAL,22,342,80,79,25,N.A.,17
14-12-2000,CENTRAL,25,328,96,72,38,N.A.,25
15-12-2000,CENTRAL,34,459,123,87,66,N.A.,43
16-12-2000,CENTRAL,55,569,155,116,92,N.A.,59
17-12-2000,CENTRAL,28,280,105,71,57,N.A.,40
18-12-2000,CENTRAL,21,306,104,69,61,N.A.,43
19-12-2000,CENTRAL,16,246,86,53,41,N.A.,26
20-12-2000,CENTRAL,48,487,111,131,70,N.A.,51
21-12-2000,CENTRAL,34,314,104,145,55,N.A.,34
22-12-2000,CENTRAL,41,369,115,123,70,N.A.,48
23-12-2000,CENTRAL,30,435,123,112,66,N.A.,43
24-12-2000,CENTRAL,26,345,128,97,75,N.A.,44
25-12-2000,CENTRAL,18,255,111,81,96,N.A.,47
26-12-2000,CENTRAL,20,220,94,69,99,N.A.,48
27-12-2000,CENTRAL,20,295,104,73,67,N.A.,35
28-12-2000,CENTRAL,31,461,139,95,86,N.A.,47
29-12-2000,CENTRAL,31,433,138,97,94,N.A.,63
30-12-2000,CENTRAL,39,435,144,131,119,N.A.,85
31-12-2000,CENTRAL,20,221,99,107,82,N.A.,62
1/1/2001,CENTRAL,19,234,97,106,80,N.A.,60
2/1/2001,CENTRAL,22,365,125,104,78,N.A.,53
3/1/2001,CENTRAL,19,353,130,100,69,N.A.,45
4/1/2001,CENTRAL,18,293,112,108,88,N.A.,60
5/1/2001,CENTRAL,19,309,109,98,53,N.A.,33
6/1/2001,CENTRAL,15,281,98,93,39,N.A.,24
7/1/2001,CENTRAL,62,608,199,169,117,N.A.,84
8/1/2001,CENTRAL,21,352,125,127,74,N.A.,48
9/1/2001,CENTRAL,37,459,148,164,96,N.A.,61
10/1/2001,CENTRAL,31,414,120,168,69,N.A.,46
11/1/2001,CENTRAL,40,472,131,180,84,N.A.,59
12/1/2001,CENTRAL,18,305,112,142,59,N.A.,39
13-01-2001,CENTRAL,38,445,135,176,71,N.A.,48
14-01-2001,CENTRAL,20,253,98,136,68,N.A.,44
15-01-2001,CENTRAL,28,329,106,151,116,N.A.,67
16-01-2001,CENTRAL,24,291,106,139,102,N.A.,65
17-01-2001,CENTRAL,18,257,91,119,59,N.A.,39
18-01-2001,CENTRAL,22,385,106,133,59,N.A.,38
19-01-2001,CENTRAL,20,338,122,134,61,N.A.,41
20-01-2001,CENTRAL,50,681,152,170,94,N.A.,59
21-01-2001,CENTRAL,26,235,87,147,79,N.A.,49
22-01-2001,CENTRAL,34,338,96,160,87,N.A.,60
23-01-2001,CENTRAL,12,236,78,150,51,N.A.,36
24-01-2001,CENTRAL,12,210,65,142,52,N.A.,34
25-01-2001,CENTRAL,18,243,58,168,52,N.A.,38
26-01-2001,CENTRAL,15,169,51,174,21,N.A.,15
27-01-2001,CENTRAL,15,252,62,162,35,N.A.,27
28-01-2001,CENTRAL,14,173,58,155,32,N.A.,26
29-01-2001,CENTRAL,27,372,84,177,64,N.A.,52
30-01-2001,CENTRAL,24,338,98,160,77,N.A.,47
31-01-2001,CENTRAL,25,367,91,157,61,N.A.,38
1/2/2001,CENTRAL,34,429,98,192,83,N.A.,56
2/2/2001,CENTRAL,20,302,67,174,68,N.A.,40
3/2/2001,CENTRAL,13,281,73,159,54,N.A.,35
4/2/2001,CENTRAL,33,431,69,254,74,N.A.,60
5/2/2001,CENTRAL,18,300,83,169,42,N.A.,27
6/2/2001,CENTRAL,26,418,99,182,60,N.A.,42
7/2/2001,CENTRAL,34,527,105,233,76,N.A.,N.A.
8/2/2001,CENTRAL,21,326,65,182,50,N.A.,N.A.
9/2/2001,CENTRAL,27,403,86,120,79,N.A.,51
10/2/2001,CENTRAL,25,342,79,113,66,N.A.,42
11/2/2001,CENTRAL,19,236,81,81,62,N.A.,37
12/2/2001,CENTRAL,30,427,114,100,79,N.A.,50
13-02-2001,CENTRAL,24,351,92,97,65,N.A.,39
14-02-2001,CENTRAL,19,335,87,89,41,N.A.,27
15-02-2001,CENTRAL,23,517,129,105,68,N.A.,43
16-02-2001,CENTRAL,17,309,111,89,87,N.A.,52
17-02-2001,CENTRAL,13,320,118,88,125,N.A.,63
18-02-2001,CENTRAL,15,317,120,86,76,N.A.,43
19-02-2001,CENTRAL,18,529,147,111,74,N.A.,45
20-02-2001,CENTRAL,10,291,104,84,58,N.A.,36
21-02-2001,CENTRAL,29,591,142,124,101,N.A.,66
22-02-2001,CENTRAL,28,659,157,132,107,N.A.,74
23-02-2001,CENTRAL,41,655,150,137,114,N.A.,79
24-02-2001,CENTRAL,32,430,122,138,92,N.A.,65
25-02-2001,CENTRAL,11,230,63,134,44,N.A.,30
26-02-2001,CENTRAL,10,247,72,130,33,N.A.,21
27-02-2001,CENTRAL,12,378,112,134,45,N.A.,28
28-02-2001,CENTRAL,77,431,105,298,127,N.A.,95
1/3/2001,CENTRAL,27,428,123,177,65,N.A.,39
2/3/2001,CENTRAL,14,277,112,150,83,N.A.,46
3/3/2001,CENTRAL,25,386,133,181,124,N.A.,72
4/3/2001,CENTRAL,13,241,99,133,95,N.A.,48
5/3/2001,CENTRAL,14,304,127,142,118,N.A.,56
6/3/2001,CENTRAL,15,400,140,154,132,N.A.,59
7/3/2001,CENTRAL,16,484,135,167,119,N.A.,57
8/3/2001,CENTRAL,13,350,82,177,51,N.A.,29
9/3/2001,CENTRAL,17,324,107,160,157,N.A.,71
10/3/2001,CENTRAL,20,356,125,169,125,N.A.,72
11/3/2001,CENTRAL,N.A.,N.A.,N.A.,N.A.,118,N.A.,90
12/3/2001,CENTRAL,N.A.,N.A.,N.A.,N.A.,43,N.A.,28
13-03-2001,CENTRAL,14,290,118,136,104,N.A.,59
14-03-2001,CENTRAL,14,319,123,143,97,N.A.,59
15-03-2001,CENTRAL,15,449,122,148,82,N.A.,50
