DATE,STATION,SO2,NOX,NO2,CO,RSP,O3,FSP
1/1/2000,CENTRAL,39,366,133,125,84,N.A.,54
2/1/2000,CENTRAL,28,428,154,154,99,N.A.,69
3/1/2000,CENTRAL,24,351,137,144,108,N.A.,79
4/1/2000,CENTRAL,23,353,130,149,109,N.A.,79
5/1/2000,CENTRAL,28,471,134,144,99,N.A.,74
6/1/2000,CENTRAL,54,736,152,170,112,N.A.,87
7/1/2000,CENTRAL,16,278,96,145,78,N.A.,60
8/1/2000,CENTRAL,22,386,111,138,68,N.A.,48
9/1/2000,CENTRAL,40,468,128,147,77,N.A.,55
10/1/2000,CENTRAL,30,443,125,154,74,N.A.,57
11/1/2000,CENTRAL,17,297,93,162,64,N.A.,45
12/1/2000,CENTRAL,41,N.A.,N.A.,204,94,N.A.,65
13-01-2000,CENTRAL,48,510,108,239,122,N.A.,82
14-01-2000,CENTRAL,17,332,93,153,47,N.A.,29
15-01-2000,CENTRAL,19,356,100,147,55,N.A.,34
16-01-2000,CENTRAL,22,343,112,160,69,N.A.,46
17-01-2000,CENTRAL,45,508,102,187,89,N.A.,56
18-01-2000,CENTRAL,49,480,99,124,61,N.A.,41
19-01-2000,CENTRAL,46,526,119,104,65,N.A.,45
20-01-2000,CENTRAL,23,319,119,97,88,N.A.,61
21-01-2000,CENTRAL,18,309,106,72,65,N.A.,38
22-01-2000,CENTRAL,20,385,115,83,59,N.A.,35
23-01-2000,CENTRAL,8,236,93,77,27,N.A.,20
24-01-2000,CENTRAL,16,468,111,106,29,N.A.,24
25-01-2000,CENTRAL,55,579,100,122,39,N.A.,28
26-01-2000,CENTRAL,49,505,104,93,49,N.A.,36
27-01-2000,CENTRAL,43,497,123,81,66,N.A.,48
28-01-2000,CENTRAL,36,525,145,96,74,N.A.,54
29-01-2000,CENTRAL,41,555,163,120,100,N.A.,70
30-01-2000,CENTRAL,19,251,110,92,75,N.A.,51
31-01-2000,CENTRAL,49,501,146,130,116,N.A.,93
1/2/2000,CENTRAL,35,469,129,130,67,N.A.,55
2/2/2000,CENTRAL,44,597,137,151,69,N.A.,52
3/2/2000,CENTRAL,47,588,136,154,66,N.A.,46
4/2/2000,CENTRAL,12,233,88,87,39,N.A.,22
5/2/2000,CENTRAL,22,299,117,111,73,N.A.,51
6/2/2000,CENTRAL,20,300,105,128,54,N.A.,39
7/2/2000,CENTRAL,22,272,111,124,54,N.A.,38
8/2/2000,CENTRAL,22,382,124,126,83,N.A.,65
9/2/2000,CENTRAL,22,398,131,99,78,N.A.,47
10/2/2000,CENTRAL,22,393,113,97,67,N.A.,46
11/2/2000,CENTRAL,28,494,128,97,71,N.A.,48
12/2/2000,CENTRAL,19,385,112,89,54,N.A.,37
13-02-2000,CENTRAL,14,258,94,83,52,N.A.,36
14-02-2000,CENTRAL,73,630,134,163,109,N.A.,78
